"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Dec 21 00:47:29 IST 2023","Thu Dec 21 00:50:29 IST 2023","180153","chromium","","","","","Section AS580 in Order Page Desktop Firefox",""
"passed","Thu Dec 21 02:07:38 IST 2023","Thu Dec 21 02:09:02 IST 2023","83753","chromium","OrderPage\OrderPage-Sections.spec.ts","OrderPage Visual Regression Testing","","","Section AS588 in Order Page Desktop Chrome",""
"passed","Thu Dec 21 00:51:10 IST 2023","Thu Dec 21 00:52:31 IST 2023","81498","chromium","","","","","Section AS580 in Order Page Desktop Chrome",""
"skipped","Thu Dec 21 00:26:05 IST 2023","Thu Dec 21 00:26:05 IST 2023","5","chromium","","OrderPage Visual Regression Testing","","","Section AS580 in Order Page Desktop Firefox",""
"skipped","Thu Dec 21 00:26:05 IST 2023","Thu Dec 21 00:26:05 IST 2023","14","chromium","","OrderPage Visual Regression Testing","","","Section AS580 in Order Page Desktop Safari",""
"passed","Thu Dec 21 00:41:38 IST 2023","Thu Dec 21 00:43:03 IST 2023","85796","chromium","","","","","Section AS580 in Order Page Microsoft Surface",""
"passed","Thu Dec 21 02:12:41 IST 2023","Thu Dec 21 02:13:59 IST 2023","78515","chromium","OrderPage\OrderPage-Sections.spec.ts","OrderPage Visual Regression Testing","","","Section Contact Us Form in Order Page Desktop Chrome",""
"passed","Thu Dec 21 00:40:17 IST 2023","Thu Dec 21 00:41:37 IST 2023","80437","chromium","","","","","Section AS580 in Order Page MacBook Air 2020 13",""
"passed","Thu Dec 21 02:09:02 IST 2023","Thu Dec 21 02:10:09 IST 2023","67305","chromium","OrderPage\OrderPage-Sections.spec.ts","OrderPage Visual Regression Testing","","","Section AS600 in Order Page Desktop Chrome",""
"failed","Thu Dec 21 00:26:02 IST 2023","Thu Dec 21 00:26:03 IST 2023","457","chromium","","OrderPage Visual Regression Testing","","","Section AS580 in Order Page Macbook Pro 15",""
"passed","Thu Dec 21 00:52:32 IST 2023","Thu Dec 21 00:54:05 IST 2023","92979","chromium","","","","","Section AS580 in Order Page ultrawide FHD",""
"passed","Thu Dec 21 02:11:25 IST 2023","Thu Dec 21 02:12:40 IST 2023","75016","chromium","OrderPage\OrderPage-Sections.spec.ts","OrderPage Visual Regression Testing","","","Section Client Review in Order Page Desktop Chrome",""
"skipped","Thu Dec 21 00:26:05 IST 2023","Thu Dec 21 00:26:05 IST 2023","5","chromium","","OrderPage Visual Regression Testing","","","Section AS580 in Order Page ultrawide FHD",""
"skipped","Thu Dec 21 00:26:05 IST 2023","Thu Dec 21 00:26:05 IST 2023","30","chromium","","OrderPage Visual Regression Testing","","","Section AS580 in Order Page Desktop Edge HiDPI",""
"passed","Thu Dec 21 00:45:57 IST 2023","Thu Dec 21 00:47:28 IST 2023","90966","chromium","","","","","Section AS580 in Order Page Desktop Edge HiDPI",""
"passed","Thu Dec 21 00:43:04 IST 2023","Thu Dec 21 00:44:26 IST 2023","82485","chromium","","","","","Section AS580 in Order Page Macbook Pro 15",""
"broken","Thu Dec 21 00:16:50 IST 2023","Thu Dec 21 00:20:42 IST 2023","231844","chromium","","OrderPage Visual Regression Testing","","","Section AS580 in Order Page MacBook Air 2020 13",""
"passed","Thu Dec 21 02:05:53 IST 2023","Thu Dec 21 02:07:37 IST 2023","104683","chromium","OrderPage\OrderPage-Sections.spec.ts","OrderPage Visual Regression Testing","","","Section AS580 in Order Page Desktop Chrome",""
"passed","Thu Dec 21 02:10:10 IST 2023","Thu Dec 21 02:11:25 IST 2023","75631","chromium","OrderPage\OrderPage-Sections.spec.ts","OrderPage Visual Regression Testing","","","Section Better Pricing in Order Page Desktop Chrome",""
"broken","Thu Dec 21 00:21:07 IST 2023","Thu Dec 21 00:25:26 IST 2023","258811","chromium","","OrderPage Visual Regression Testing","","","Section AS580 in Order Page Microsoft Surface",""
"passed","Thu Dec 21 00:44:27 IST 2023","Thu Dec 21 00:45:57 IST 2023","90711","chromium","","","","","Section AS580 in Order Page Desktop Safari",""
